N,decaimiento pero usando el cesio 137
1,437
2,434
3,467
4,441
5,444
6,414
7,439
8,462
9,423
10,447
11,439
12,465
13,473
14,423
15,457
16,434
17,465
18,421
19,427
20,426
21,439
22,461
23,470
24,440
25,447
26,417
27,434
28,454
29,432
30,461
31,452
32,401
33,467
34,467
35,452
36,449
37,485
38,432
39,449
40,465
41,441
42,396
43,432
44,478
45,351
46,469
47,451
48,426
49,437
50,450
51,490
52,426
53,448
54,433
55,419
56,454
57,417
58,456
59,451
60,442
61,452
62,460
63,436
64,456
65,459
66,435
67,426
68,440
69,435
70,467
71,424
72,450
73,434
74,405
75,452
76,440
77,445
78,463
79,437
80,449
81,436
82,416
83,437
84,440
85,439
86,410
87,432
88,424
89,452
90,456
91,444
92,453
93,477
94,415
95,446
96,405
97,428
98,445
99,453
100,441
101,450
102,435
103,442
104,448
105,430
106,434
107,430
108,455
109,447
110,453
111,444
112,410
113,455
114,432
115,448
116,446
117,494
118,434
119,442
120,448
121,446
122,417
123,451
124,467
125,473
126,425
127,393
128,404
129,431
130,443
131,404
132,441
133,436
134,457
135,464
136,443
137,470
138,432
139,437
140,437
141,466
142,454
143,470
144,423
145,470
146,468
147,430
148,468
149,421
150,434
151,462
152,444
153,455
154,423
155,440
156,425
157,454
158,456
159,452
160,432
161,429
162,464
163,427
164,440
165,392
166,421
167,433
168,432
169,402
170,438
171,466
172,454
173,416
174,481
175,466
176,410
177,452
178,451
179,430
180,408
181,426
182,430
183,415
184,457
185,434
186,420
187,437
188,465
189,427
190,442
191,457
192,437
193,425
194,444
195,428
196,496
197,444
198,429
199,450
200,471
201,451
202,430
203,471
204,455
205,408
206,467
207,432
208,434
209,448
210,441
211,445
212,411
213,446
214,399
215,449
216,463
217,462
218,433
219,412
220,455
221,426
222,451
223,473
224,415
225,416
226,416
227,426
228,460
229,438
230,484
231,445
232,461
233,474
234,452
235,412
236,453
237,448
238,446
239,436
240,477
241,459
242,456
243,440
244,453
245,476
246,440
247,473
248,431
249,483
250,406
251,438
252,426
